Title,Abstract,Keywords
Learning to Learn: Dynamic Runtime Exploitation of Various Knowledge Sources and Machine Learning Paradigms,"The ability to learn at runtime is a fundamental prerequisite for self-adaptive and self-organising systems that allows for dealing with unanticipated conditions and dynamic environments. Often, this machine learning process has to be highly or fully autonomous. That is, the degree of interaction with humans must be reduced to a minimum. In principle, there exist various learning paradigms for this task such as transductive learning, reinforcement learning, collaborative learning, or - if interaction with humans is allowed but has to be efficient - active learning. These paradigms are based on different knowledge sources such as appropriate sensor measurements, humans, or databases as well as access models considering e.g., availability or reliability. In this article, we propose a novel meta learning approach that aims at dynamically exploiting various possible combinations of knowledge sources and machine learning paradigms at runtime. The approach is learning in the sense that it self-optimises a certain objective function (e.g., it maximises a classification accuracy) at runtime. We present an architectural concept for this learning scheme, discuss some possible use cases to highlight the benefits, and derive a research agenda for future work in this field.","Learning systems,
Runtime,
Adaptation models,
Learning (artificial intelligence),
Conferences,
Internet"
High Performance Machine Learning (HPML) Framework to Support DDDAS Decision Support Systems: Design Overview,"This paper presents a design for a High Performance Machine Learning (HPML) framework to support DDDAS decision processes. The HPML framework can provide a high performance computing environment to implement large scale machine learning algorithms that leverages Big Data tools (e.g., SPARK, Hadoop), parallel algorithms, and MapReduce programming paradigm. The framework provides the following capabilities: • High Performance Parallel Algorithms: For a suite of important ML, we will develop three parallel implementations of each algorithm that are based on Message Passing Interface (MPI), Shared Memory (SM) and MapReduce programming model. • High Performance and Scalable Platforms: This will enable us to identify the best high performance platform that maximizes performance and scalability of the parallel ML methods. We will experiment with and evaluate the performance and scalability of different parallel architectures (shared memory and message passing), Clusters of GPUs, and cloud computing systems. By leveraging the emerging Big Data tools and high performance computing algorithms (traditional and emerging paradigm such as MapReduce), we will be able to achieve the following: 1) reduce significantly the ML processing time, 2) enable StreamlinedML users to leverage Big Data tools to perform large scale ML tasks over structured and non-structured data sets; and 3) enable users to identify the best parallel platform and storage allocation and distribution that maximize performance and scalability of the selected ML algorithms.""","Machine learning algorithms,
Computational modeling,
Scalability,
Programming,
Data models,
Classification algorithms"
A Host-Independent Supervised Machine Learning Approach to Automated Overload Detection in Virtual Machine Workloads,"This paper evaluates a mechanism for applying machine learning (ML) to identify over-constrained IaaS virtual machines (VMs). Herein, over-constrained VMs are defined as those who are not given sufficient system resources to meet their workload specific objective functions. To validate our approach, a variety of workload-specific benchmarks inspired by common Infrastructure-as-a-Service (IaaS) cloud workloads were used. Workloads were run while regularly sampling VM resource consumption features exposed by the hypervisor. Datasets were curated into nominal or over-constrained and used to train ML classifiers to determine VM over-constraint rules based on one-time workload analysis. Rules learned on one host are transferred with the VM to other host environments to determine portability. Key contributions of this work include: demonstrating which VM resource consumption metrics (features) prove most relevant to learned decision trees in this context, and a technique required to generalize this approach across hosts while limiting required up front training expenditure to a single VM and host. Other contributions include a rigorous explanation of the differences in learned rulesets as a function of feature sampling rates, and an analysis of the differences in learned rulesets as a function of workload variation. Feature correlation matrices and their corresponding generated rule sets demonstrate individual features comprising rule sets tend to show low cross-correlation (below 0.4) while no individual feature shows high direct correlation with classification. Our system achieves workload-specific error percentages below 2.4% with a mean error across workloads of 1.43% (and strong false negative bias) for a variety of synthetic, representative, cloud workloads tested.","Monitoring,
Virtual machine monitors,
Kernel,
Databases,
Conferences,
Virtual machining,
Cloud computing"
A Deep Machine Learning Method for Classifying Cyclic Time Series of Biological Signals Using Time-Growing Neural Network,"This paper presents a novel method for learning the cyclic contents of stochastic time series: the deep time-growing neural network (DTGNN). The DTGNN combines supervised and unsupervised methods in different levels of learning for an enhanced performance. It is employed by a multiscale learning structure to classify cyclic time series (CTS), in which the dynamic contents of the time series are preserved in an efficient manner. This paper suggests a systematic procedure for finding the design parameter of the classification method for a one-versus-multiple class application. A novel validation method is also suggested for evaluating the structural risk, both in a quantitative and a qualitative manner. The effect of the DTGNN on the performance of the classifier is statistically validated through the repeated random subsampling using different sets of CTS, from different medical applications. The validation involves four medical databases, comprised of 108 recordings of the electroencephalogram signal, 90 recordings of the electromyogram signal, 130 recordings of the heart sound signal, and 50 recordings of the respiratory sound signal. Results of the statistical validations show that the DTGNN significantly improves the performance of the classification and also exhibits an optimal structural risk.","Hidden Markov models,
Time series analysis,
Biological system modeling,
Neural networks,
Phonocardiography,
Medical services,
Brain modeling"
Knowledge Transfer Through Machine Learning in Aircraft Design,"The modern aircraft has evolved to become an important part of our society. Its design is multidisciplinary in nature and is characterized by complex analyses of mutually interdependent disciplines and large search spaces. Machine learning has, historically, played a significant role in aircraft design, primarily by approximating expensive physics-based numerical simulations. In this work, we summarize the current role of machine learning in this application domain, and highlight the opportunity of incorporating recent advances in the field to further its impact. Specifically, regression models (or surrogate models) that represent a major portion of the current efforts are generally built from scratch assuming a zero prior knowledge state, only relying on data from the ongoing target problem of interest. However, due to the incremental nature of design processes, there likely exists relevant knowledge from various related sources that can potentially be leveraged. As such, we present three relatively advanced machine learning technologies that facilitate automatic knowledge transfer in order to improve design performance. Subsequently, we demonstrate the efficacy of one of these technologies, i.e. transfer learning, on two use cases of aircraft engine design yielding noteworthy results. Our aim is to unveil this new application as a well-suited arena for the salient features of knowledge transfer in machine learning to come to the fore, thereby encouraging future research efforts.","Computational modeling,
Numerical models,
Aircraft,
Mathematical model,
Atmospheric modeling,
Data models,
Numerical simulation"
Supervised Machine Learning for Estimation of Target Aspect Angle From Bistatic Acoustic Scattering,"When an aspect-dependent target is insonified by an acoustic source, distinct features are produced in the resulting bistatic scattered field. These features change as the aspect between the source and the target is varied. This paper describes the use of these features for estimation of the target aspect angle using data collected by an autonomous underwater vehicle (AUV). An experiment was conducted in November 2014 in Massachusetts Bay to collect data using a ship-based acoustic source producing 7–9-kHz linear frequency modulation (LFM) chirps insonifying a steel pipe. The true target orientation was unknown, as the target was dropped from the ship with no rotation control. The AUV Unicorn, fitted with a 16-element nose array, was deployed in data collection behaviors around the target, and the ship was moved to create two target aspects. A support vector machine regression model was trained using simulated scattering bistatic field data. This model was then used to estimate the target aspect angle from the data collected during the experiment. The difference between the estimates was consistent with experimental observations of relative source positioning. The simulation-based model appeared successful in estimating the target aspect angle despite uncertainties in target and source location and mismatch between true environment and simulation parameters.","Scattering,
Underwater acoustics,
Marine vehicles,
Aquatic robots,
Machine learning,
Underwater autonomous vehicles"
Soil Moisture Retrieval using UWB Echoes via Fuzzy Logic and Machine Learning,"Soil moisture (SM) retrieval using wireless signals has become a research focus with the development of sensor devices in internet of things (IOT). Studies applying ground-penetrating radar (GPR) have improved the accuracy of SM retrieval, however the field-scaled data are hardly satisfactory mainly due to the frequency response of the antenna, and it’s not cost-effective for farmers to monitor the soil conditions. In this paper, we compare two fuzzy logic systems (FLS) -type-1 fuzzy logic system (T1FLS) and adaptive network-based fuzzy inference system (ANFIS) to extract fuzzy parameters of soil. Moreover, two machine learning (ML) algorithms - random forest (RF) and artificial neural network (ANN) with principal component analysis (PCA) are applied in the SM classifications. 9 types of UWB soil echoes of different texture and volume water content (VWC) are collected and investigated using our approaches. Final analysis shows that ANFIS with RF provides the best VWC correct recognition rate (CRR) compared to other algorithms.","Soil,
Fuzzy logic,
Feature extraction,
Soil measurements,
Radio frequency,
Internet of Things,
Ground penetrating radar"
Integrating Heuristic and Machine-Learning Methods for Efficient Virtual Machine Allocation in Data Centers,"Modern cloud data centers (DCs) need to tackle efficiently the increasing demand for computing resources and address the energy efficiency challenge. Therefore, it is essential to develop resource provisioning policies that are aware of virtual machine (VM) characteristics, such as CPU utilization and data communication, and applicable in dynamic scenarios. Traditional approaches fall short in terms of flexibility and applicability for large-scale DC scenarios. In this paper we propose a heuristic-and a machine learning (ML)-based VM allocation method and compare them in terms of energy, quality of service (QoS), network traffic, migrations, and scalability for various DC scenarios. Then, we present a novel hyper-heuristic algorithm that exploits the benefits of both methods by dynamically finding the best algorithm, according to a user-defined metric. For optimality assessment, we formulate an integer linear programming (ILP)-based VM allocation method to minimize energy consumption and data communication, which obtains optimal results, but is impractical at runtime. Our results demonstrate that the ML approach provides up to 24% server-to-server network traffic improvement and reduces execution time by up to 480x compared to conventional approaches, for large-scale scenarios. On the contrary, the heuristic outperforms the ML method in terms of energy and network traffic for reduced scenarios. We also show that the heuristic and ML approaches have up to 6% energy consumption overhead compared to ILP-based optimal solution. Our hyper-heuristic integrates the strengths of both the heuristic and the ML methods by selecting the best one during runtime.","Servers,
Resource management,
Energy consumption,
Correlation,
Data communication,
Quality of service"
Imbalance Learning Machine-Based Power System Short-Term Voltage Stability Assessment,"In terms of machine learning-based power system dynamic stability assessment, it is feasible to collect learning data from massive synchrophasor measurements in practice. However, the fact that instability events rarely occur would lead to a challenging class imbalance problem. Besides, short-term feature extraction from scarce instability seems extremely difficult for conventional learning machines. Faced with such a dilemma, this paper develops a systematic imbalance learning machine for online short-term voltage stability assessment. A powerful time series shapelet (discriminative subsequence) classification method is embedded into the machine for sequential transient feature mining. A forecasting-based nonlinear synthetic minority oversampling technique is proposed to mitigate the distortion of class distribution. Cost-sensitive learning is employed to intensify bias toward those scarce yet valuable unstable cases. Furthermore, an incremental learning strategy is put forward for online monitoring, contributing to adaptability and reliability enhancement along with time. Simulation results on the Nordic test system illustrate the high performance of the proposed learning machine and of the assessment scheme.","Power system stability,
Voltage measurement,
Stability criteria,
Power system dynamics,
Thermal stability,
Feature extraction"
Predicting radiation protection and toxicity of p53 targeting radioprotectors using machine learning,"This paper explores machine learning application in the case of drug discovery. We apply extreme gradient boosting and K-nearest neighbor to biomedical data and it signiflcantly outperform former studies using feature selection and proper tuning parameters. The novel application motivated by a recent circumstance that there is a need for rapid development of radio-protectors. It mainly targets the DNA of growing cancer cells, whereas it has adverse side effects, including p53-induced apoptosis of normal tissues and cells. It considered that p53 would be a target for therapeutic and mitigated radioprotection to escape from the apoptotic fate. On the other hand, many types of compounds contain several level of toxicity, so it is important to consider not only radiation protection but also the level of toxicity of candidate compounds for radioprotectors. Compounds of radio-protectors that have low toxicity and high radiation protection are expected. It is possible to do efficiently the compounds discovery using machine learning. This study predicts compounds of radioprotectors using plural machine learning methods, Extreme Gradient Boosting, K-nearest neighbor, SVM and Random Forest. We compare these methods and suggest proper methods to predict radioprotectors.","Compounds,
Boosting,
Support vector machines,
Decision trees,
Drugs,
Cancer"
