Title,Abstract,Keywords
"Fuzzy basis functions, universal approximation, and orthogonal least-squares learning","Fuzzy systems are represented as series expansions of fuzzy basis functions which are algebraic superpositions of fuzzy membership functions. Using the Stone-Weierstrass theorem, it is proved that linear combinations of the fuzzy basis functions are capable of uniformly approximating any real continuous function on a compact set to arbitrary accuracy. Based on the fuzzy basis function representations, an orthogonal least-squares (OLS) learning algorithm is developed for designing fuzzy systems based on given input-output pairs; then, the OLS algorithm is used to select significant fuzzy basis functions which are used to construct the final fuzzy system. The fuzzy basis function expansion is used to approximate a controller for the nonlinear ball and beam system, and the simulation results show that the control performance is improved by incorporating some common-sense fuzzy control rules.","Fuzzy systems,
Fuzzy sets,
Fuzzy neural networks,
Humans,
Fuzzy control,
Nonlinear control systems,
Neural networks,
Computer science,
Polynomials,
System testing"
Numerical potential field techniques for robot path planning,"An approach to robot path planning that consists of incrementally building a graph connecting the local minima of a potential field defined in the robot's configuration space and concurrently searching this graph until a goal configuration is attained is proposed. Unlike the so-called global path planning methods, this approach does not require an expensive computation step before the search for a path can actually start, and it searches a graph that is usually much smaller than the graph searched by the so-called local methods. A collection of effective techniques to implement this approach is described. They are based on the use of multiscale pyramids of bitmap arrays for representing both the robot's workspace and configuration space. This distributed representation makes it possible to construct potential fields numerically, rather than analytically. A path planner based on these techniques has been implemented. Experiments with this planner show that it is both very fast and capable of handling many degrees of freedom.","Path planning,
Orbital robotics,
Manipulators,
Joining processes,
Robot motion,
Motion planning,
Mobile robots,
Military computing,
Computational Intelligence Society,
Computer science"
Active Messages: A Mechanism for Integrated Communication and Computation,"The design challenge for large-scale multiprocessors is (1) to minimize communication overhead, (2) allow communication to overlap computation, and (3) coordinate the two without sacrificing processor cost/performance. We show that existing message passing multiprocessors have unnecessarily high communication costs. Research prototypes of message driven machines demonstrate low communication overhead, but poor processor cost/performance. We introduce a simple communication mechanism, Active Messages, show that it is intrinsic to both architectures, allows cost effective use of the hardware, and offers tremendous flexibility. Implementations on nCUBE/2 and CM-5 are described and evaluated using a split-phase shared-memory extension to C, Split-C. We further show that active messages are sufficient to implement the dynamically scheduled languages for which message driven machines were designed. With this mechanism, latency tolerance becomes a programming/compiling concern. Hardware support for active messages is desirable and we outline a range of enhancements to mainstream processors.","Hardware,
Costs,
Delay,
Permission,
Prototypes,
Algorithm design and analysis,
Computer science,
Large scale integration,
Processor scheduling,
Dynamic scheduling"
Planning optimal grasps,The authors address the problem of planning optimal grasps. Two general optimality criteria that consider the total finger force and the maximum finger force are introduced and discussed. Their formalization using various metrics on a space of generalized forces is detailed. The geometric interpretation of the two criteria leads to an efficient planning algorithm. An example of its use in a robotic environment equipped with two-jaw and three-jaw is described.,"Grippers,
Robots,
Fingers,
Extraterrestrial measurements,
Orbital robotics,
Actuators,
Manipulators,
Grasping,
Assembly systems,
Computer science"
Relative neighborhood graphs and their relatives,"Results of neighborhood graphs are surveyed. Properties, bounds on the size, algorithms, and variants of the neighborhood graphs are discussed. Numerous applications including computational morphology, spatial analysis, pattern classification, and databases for computer vision are described.","Application software,
Computer vision,
Morphology,
Bibliographies,
Computer science,
Shape,
Computer applications,
Pattern analysis,
Computational geometry,
Biology computing"
Spawn: a distributed computational economy,"The authors have designed and implemented an open, market-based computational system called Spawn. The Spawn system utilizes idle computational resources in a distributed network of heterogeneous computer workstations. It supports both coarse-grain concurrent applications and the remote execution of many independent tasks. Using concurrent Monte Carlo simulations as prototypical applications, the authors explore issues of fairness in resource distribution, currency as a form of priority, price equilibria, the dynamics of transients, and scaling to large systems. In addition to serving the practical goal of harnessing idle processor time in a computer network, Spawn has proven to be a valuable experimental workbench for studying computational markets and their dynamics.",
The detection of fault-prone programs,"The use of the statistical technique of discriminant analysis as a tool for the detection of fault-prone programs is explored. A principal-components procedure was employed to reduce simple multicollinear complexity metrics to uncorrelated measures on orthogonal complexity domains. These uncorrelated measures were then used to classify programs into alternate groups, depending on the metric values of the program. The criterion variable for group determination was a quality measure of faults or changes made to the programs. The discriminant analysis was conducted on two distinct data sets from large commercial systems. The basic discriminant model was constructed from deliberately biased data to magnify differences in metric values between the discriminant groups. The technique was successful in classifying programs with a relatively low error rate. While the use of linear regression models has produced models of limited value, this procedure shows great promise for use in the detection of program modules with potential for faults.","Fault detection,
Software quality,
Software measurement,
Computer errors,
Predictive models,
Software metrics,
Time measurement,
Computer science,
Error analysis,
Linear regression"
Designing an on-demand multimedia service,"A quantitative study of techniques for designing a high-performance multiuser multimedia on-demand information service is presented. The problem of maintaining continuity of playback of each media stream in the presence of multiple subscriber requests is formulated, and admission control algorithms that permit a multimedia server to satisfy the maximum number of subscribers simultaneously are presented. A feedback technique in which a multimedia service uses lightweight messages called feedback units that are transmitted back to it by subscribers' mediaphones to detect asynchrony among them and steer them back to synchrony thereafter is presented. The feedback technique guarantees synchronous playback of media streams transmitted by the multimedia server to subscribers over metropolitan-area networks.","Streaming media,
Network servers,
Information retrieval,
Motion pictures,
Computer science,
B-ISDN,
Optical arrays,
Optical devices,
Bandwidth,
Costs"
An updating algorithm for subspace tracking,"In certain signal processing applications it is required to compute the null space of a matrix whose rows are samples of a signal with p components. The usual tool for doing this is the singular value decomposition. However, the singular value decomposition has the drawback that it requires O(p/sup 3/) operations to recompute when a new sample arrives. It is shown that a different decomposition, called the URV decomposition, is equally effective in exhibiting the null space and can be updated in O(p/sup 2/) time. The updating technique can be run on a linear array of p processors in O(p) time.",
Augmented reality: an application of heads-up display technology to manual manufacturing processes,"The authors describe the design and prototyping steps they have taken toward the implementation of a heads-up, see-through, head-mounted display (HUDset). Combined with head position sensing and a real world registration system, this technology allows a computer-produced diagram to be superimposed and stabilized on a specific position on a real-world object. Successful development of the HUDset technology will enable cost reductions and efficiency improvements in many of the human-involved operations in aircraft manufacturing, by eliminating templates, formboard diagrams, and other masking devices.","Augmented reality,
Two dimensional displays,
Manuals,
Manufacturing processes,
Aircraft manufacture,
Robotics and automation,
Virtual reality,
Robotic assembly,
Aircraft propulsion,
Production facilities"
Analysis of a fluid approximation to flow control dynamics,"The authors consider a flow control mechanism that dynamically regulates the rate of data flow into a network based on feedback information about the network state. Such mechanisms have been introduced in a variety of networks, and have been advocated for future high-speed networks. The authors first model the flow control mechanism by a discrete-space stochastic process and define appropriate performance measures for transient and steady-state regimes. However, the model does not appear to be analytically tractable, and the authors study it through simulation. They then simplify it to a continuous-space deterministic (or fluid) model for which closed-form solutions can be derived easily. It is found that the analytical results for the fluid model agree well with the simulation results obtained using the discrete-space model. Both models explicitly consider delay of the feedback information, thus making them relevant for high-speed networks.",
Applying case-based reasoning to autoclave loading,"Clavier, a case-based reasoning system that determines the placement of parts made of composite materials in an autoclave, is described. The heating rate of all parts put in an autoclave must be controlled carefully, but their number, shape, and placement can cause significant nonlocal variations. Clavier provides interactive support, using cases to propose load configurations and multiload plans. One of its advantages is that it learns, becoming more competent as it acquires new cases. Clavier's structure and results from evaluations of Clavier as an application and as a case-based reasoning research tool are discussed.",
Current-mode analog fuzzy hardware with voltage input interface and normalization locked loop,"A voltage-input current-output membership function circuit (MFC) and a normalization locked loop (NLL) are proposed. They are useful building blocks for current-mode analog fuzzy hardware. The voltage-input current-output MFC consists of two-source-coupled-type operational transconductance amplifiers (OTAs). The MFC is used in the input parts of the analog fuzzy hardware system. The fuzzy hardware system can execute the singleton fuzzy control algorithm. In the algorithm, the weighted average operation is processed. When the weighted average operation is directly realized by analog circuits, a divider must be implemented. The NLL circuit, which can process the weighted average operation without the divider, is implemented using a one-source-coupled OTA. The proposed circuits were designed by using 2- mu m CMOS design rules and their operations were confirmed using SPICE simulations.","Hardware,
Voltage,
Fuzzy systems,
Fuzzy control,
Transconductance,
Operational amplifiers,
Analog circuits,
SPICE,
Circuit simulation"
Environment evolution: the Prism model of changes,"A software development environment supports a complex network of items of at least the following major types: people, policies, laws, resources, processes and results. Such items may need to be changed on an on-going basis. The authors have designed in the Prism project a model of changes and two supporting change-related environment infrastructures with the following key features: separation of changes to the described items from the changes to the environmental facilities encapsulating these items; a facility, called the dependency structure, for describing various items and their interdependencies, and for identifying the items affected by a given change; a facility, called the change structure for classifying, recording, and analyzing change-related data and for making qualitative judgments of the consequences of a change; identification of the many distinct properties of a change; and a built-in mechanism for providing feedback. The author's approach to the problem of change and its rationale is described.","Programming,
Environmental management,
Complex networks,
Data analysis,
Mechanical factors,
Feedback,
Project management,
Engineering management,
Councils,
Computer science"
Penetration state transition analysis: A rule-based intrusion detection approach,"A new approach to representing computer penetrations is introduced called penetration state transition analysis. This approach models penetrations as a series of state transitions described in terms of signature actions and state descriptions. State transition diagrams are written to correspond to the states of an actual computer system, and these diagrams form the basis of a rule-based expert system for detecting penetrations, referred to as STAT.","Intrusion detection,
Expert systems,
Computer security,
Data security,
Data analysis,
Postal services,
Computer science,
Research and development,
Software tools,
Real time systems"
Some Problems In Perspective System Theory And Its Application To Machine Vision,,"Machine vision,
Computer vision,
Time varying systems,
Humans,
Motion estimation,
Visual system,
Image sequences,
Shape,
US Department of Energy,
Lenses"
What's in a set of points? (straight line fitting),"The problem of fitting a straight line to a planar set of points is reconsidered. A parameter space computational approach capable of fitting one or more lines to a set of points is presented. The suggested algorithm handles errors in both coordinates of the data points, even when the error variances vary between coordinates and among points and can be readily made robust to outliers. The algorithm is quite general and allows line fitting according to several useful optimality criteria to be performed within a single computational framework. It is observed that certain extensions of the Hough transform can be turned to be equivalent to well-known M estimators, thus allowing computationally efficient approximate M estimation.","Robustness,
Least squares approximation,
Least squares methods,
Computer vision,
Pollution measurement,
Computer errors,
Computer science,
Machine intelligence,
Feature extraction,
Digital images"
