Title,Abstract,Keywords
Bonferroni mean with weighted interaction,"Bonferroni mean aggregates the interaction between all pairs of inputs from some n-dimensional input vector. Therefore it is able to capture the dependency structure between the inputs. Weighted version of the Bonferroni mean then assumes that each input has a possibly different weight. Such an approach poses several constraints that decrease the modelling flexibility of the dependency structure on the input space. In this paper we present an overview of the different approaches to weighted Bonferroni mean and introduce the Bonferroni mean with weighted interaction where interactions between inputs are weighted rather than the inputs themselves. We show several important properties of the Bonferroni mean with weighted interaction and its connection to concepts studied before. Finally, using the described approach we design a system for emergency management that is able to raise an alarm in the case where certain criteria are met.",
Converse Theorems for Safety and Barrier Certificates,"An important tool for proving safety of dynamical systems is the notion of a barrier certificate. In this technical note we prove that every robustly safe ordinary differential equation has a barrier certificate. Moreover, we show a construction of such a barrier certificate based on a set of states that is reachable in finite time.",
Scalable Reactive Molecular Dynamics Simulations for Computational Synthesis,"Reactive molecular-dynamics (MD) simulation is a powerful research tool for describing chemical reactions. We eliminate the speed-limiting charge iteration in MD with a novel extended-Lagrangian scheme. The extended-Lagrangian reactive MD (XRMD) code drastically improves energy conservation while substantially reducing time-to-solution. Furthermore, we introduce a new polarizable charge equilibration (PQEq) model to accurately predict atomic charges and polarization. The XRMD code based on hybrid message passing+multithreading achieves a weak-scaling parallel efficiency of 0.977 on 786,432 IBM Blue Gene/Q cores for a 67.6 billion-atom system. The performance is portable to the 2nd generation Intel Xeon Phi, Knights Landing. Blue Gene/Q simulations for the computational synthesis of materials via novel exfoliation mechanisms for synthesizing atomically thin transition metal dichalcogenide layers, which will dominate nanomaterials science in this century.",
Leveraging Content Sensitiveness and User Trustworthiness to Recommend Fine-Grained Privacy Settings for Social Image Sharing,"To configure successful privacy settings for social image sharing, two issues are inseparable: (1) content sensitiveness of the images being shared; and (2) trustworthiness of the users being granted to see the images. This paper aims to consider these two inseparable issues simultaneously to recommend finegrained privacy settings for social image sharing. For achieving more compact representation of image content sensitiveness (privacy), two approaches are developed: (a) a deep network is adapted to extract 1024-D discriminative deep features; and (b) a deep multiple instance learning algorithm is adopted to identify 280 privacy-sensitive object classes and events. Secondly, users on the social network are clustered into a set of representative social groups to generate a discriminative dictionary for user trustworthiness characterization. Finally, both the image content sensitiveness and the user trustworthiness are integrated to train tree classifier to recommend fine-grained privacy settings for social image sharing. Our experimental studies have demonstrated both the efficiency and the effectiveness of our proposed algorithms.","Privacy,
Feature extraction,
Visualization,
Computer science,
Electronic mail,
Social network services"
Fast Algorithms for Computing Path-Difference Distances,"Tree comparison metrics are an important tool for the study of phylogenetic trees. Path-difference distances measure the dissimilarity between two phylogenetic trees (on the same set of taxa) by comparing their path-length vectors. Various norms can be applied to this distance. Three important examples are the l_{1}
-, l_{2}
, and l_{\infty}
-norms. The previous best algorithms for computing path-difference distances all have O(n^2)
running time. In this paper, we show how to compute the l_1-norm path-difference distance in O(n \text log^2 n)
time and how to compute the l_{2}
- and l_{\infty}
-norm path-difference distances in O(n\ \text log\ n)
time. By extending the presented algorithms, we also show that the l_{p}
-norm path-difference distance can be computed in O(pn\ \text log^2\ n)
time for any positive integer p
. In addition, when the integer p
is even, we show that the distance can be computed in O(p^2 n\ \text log\ n)
time as well.",
A Heuristic Algorithm for a Low Autocorrelation Binary Sequence Problem with Odd Length and High Merit Factor,"A Low Autocorrelation Binary Sequence (LABS) problem is a hard combinatorial problem and its solutions are important in many practical applications. Till now, the largest best-known skew-symmetric sequence with merit factor greater than 9 had a length of 189. In this paper, a new heuristic algorithm is presented for the LABS problem. The proposed algorithm stores promising solutions and this mechanism enables the algorithm to perform local searches on these solutions in a systematic way. Our algorithm was tested on skew-symmetric sequences and the obtained results are compared with results of the state-of-the-art algorithms. The proposed algorithm was able to find some new best-known skew-symmetric solutions with merit factor greater than 9 in sequence lengths over 200. The obtained results improve the suggestion from 1985 (Beenker et al.) and 1987 (Bernasconi) greatly, where the merit factor is approximately equal to 6 for long skew-symmetric sequences with length up to 199. Now, the largest best-known skew-symmetric sequence with merit factor greater than 9 has the length 225. Additionally, now all merit factors are greater than 8.5 on the interval from 159 up to 225 for odd lengths.","Correlation,
Heuristic algorithms,
Search problems,
Upper bound,
Memetics,
Computer science,
Systematics"
A Tensor-Based Multiple Clustering Approach With Its Applications in Automation Systems,"Multiple clustering analysis has the clear advantages to discover latent data pattern in big data from different views, so it has tremendous practical values in automation industries. However, most of current algorithms are difficult to group heterogeneous data to multiple clusterings according to the requirements of different applications. This paper presents a flexible multiple clustering analytic and service framework, and a novel tensor-based multiple clusterings (TMC) approach. Heterogeneous data objects in cyber-physical-social systems are first represented as low-order tensors and a weight tensor construction approach is proposed to measure the importance of attributes combinations in heterogeneous feature spaces. Then, a selective weighted tensor distance is explored to cluster tensorized data objects for different applications. This paper, through a real-world smart bike maintenance system, illustrates TMC and evaluates its clustering performance. Experimental results reveal TMC can obtain higher quality clustering results but with lower redundancies to meet different requirements of applications in automation systems.",
A Systematic Study of Online Class Imbalance Learning With Concept Drift,"As an emerging research topic, online class imbalance learning often combines the challenges of both class imbalance and concept drift. It deals with data streams having very skewed class distributions, where concept drift may occur. It has recently received increased research attention; however, very little work addresses the combined problem where both class imbalance and concept drift coexist. As the first systematic study of handling concept drift in class-imbalanced data streams, this paper first provides a comprehensive review of current research progress in this field, including current research focuses and open challenges. Then, an in-depth experimental study is performed, with the goal of understanding how to best overcome concept drift in online learning with class imbalance.",
An Analytical method of Network Service scalability,"The research of network service scalability is essentially the research of the capability of providing service, which is based on services and the relationship among the services. However, most of the research ignore the systematic research on analytical methods of service scalability in network systems, owing to the complexity and the diversity of the network system. In this paper, we propose an analytical method of network service scalability which is composed of a network description model and a service evaluation model. The method uses the network description model to describe services and the relationship among them. After presenting the network description, the method uses the service evaluation model to analyze the network service scalability. For analyzing and simulating purposes, we select three P2P network models which are different with each other in network topologies as an example. Our simulation results which are in accord with the results of the example analysis verify the correctness and applicability of the analytical method.",
On the Design of Minimal-Cost Pipeline Systems Satisfying Hard/Soft Real-Time Constraints,"Pipeline systems provide high throughput for applications by overlapping the executions of tasks. In the architectures with heterogeneity, two basic issues in the design of application-specific pipelines need to be studied: what type of functional unit to execute each task, and where to place buffers. Due to the increasing complexity of applications, pipeline designs face a bundle of problems. One of the most challenging problems is the uncertainty on the execution times, which makes the deterministic techniques inapplicable. In this paper, the execution times are modeled as random variables. Given an application, our objective is to construct the optimal pipeline, such that the total cost of the resultant pipeline can be minimized while satisfying the required timing constraints with the given guaranteed probability. We first prove the NP-hardness of the problem. Then, we present Mixed Integer Linear Programming (MILP) formulations to obtain the optimal solution. Due to the high time complexity of MILP, we devise an efficient
(1+ϵ)
-approximation algorithm, where the value of
ϵ
is less than 5% in practice. Experimental results show that our algorithms can achieve significant reductions in cost over the existing techniques, reaching up to 31.93% on average",
