Title,Abstract,Keywords
Data Mining and Analytics in the Process Industry: the Role of Machine Learning,"Data mining and analytics have played an important role in knowledge discovery and decision making/supports in the process industry over the past several decades. As a computa-tional engine to data mining and analytics, machine learning serves as basic tools for information extraction, data pattern recognition and predictions. From the perspective of machine learning, this paper provides a review on existing data mining and analytics applications in the process industry over the past several decades. The state-of-the-art of data mining and analytics are reviewed through eight unsupervised learning and ten supervised learning algorithms, as well as the application status of semi-supervised learning algorithms. Several perspectives are highlighted and discussed for future researches on data mining and analytics in the process industry.","Data mining,
Industries,
Data models,
Machine learning algorithms,
Analytical models,
Manufacturing,
Predictive models"
Automatically Classifying Functional and Non-functional Requirements Using Supervised Machine Learning,"In this paper, we take up the second RE17 data challenge: the identification of requirements types using the ""Quality attributes (NFR)"" dataset provided. We studied how accurately we can automatically classify requirements as functional (FR) and non-functional (NFR) in the dataset with supervised machine learning. Furthermore, we assessed how accurately we can identify various types of NFRs, in particular usability, security, operational, and performance requirements. We developed and evaluated a supervised machine learning approach employing meta-data, lexical, and syntactical features. We employed under-and over-sampling strategies to handle the imbalanced classes in the dataset and cross-validated the classifiers using precision, recall, and F1 metrics in a series of experiments based on the Support Vector Machine classifier algorithm. We achieve a precision and recall up to ~92% for automatically identifying FRs and NFRs. For the identification of specific NFRs, we achieve the highest precision and recall for security and performance NFRs with ~92% precision and ~90% recall. We discuss the most discriminating features of FRs and NFRs as well as the sampling strategies used with an additional dataset and their impact on the classification accuracy.","Training,
Usability,
Security,
Feature extraction,
Vegetation,
Support vector machines"
MACORD: Online Adaptive Machine Learning Framework for Silent Error Detection,"Future high-performance computing (HPC) systems with ever-increasing resource capacity (such as compute cores, memory and storage) may significantly increase the risks on reliability. Silent data corruptions (SDCs) or silent errors are among the major sources that corrupt HPC execution results. Unlike fail-stop errors, SDCs can be harmful and dangerous in that they cannot be detected by hardware. To remedy this, we propose an online MAchine-learning-based silent data CORruption Detection framework (abbreviated as MACORD) for detecting SDCs in HPC applications. In our study, we comprehensively investigate the prediction ability of a multitude of machine-learning algorithms and enable the detector to automatically select the best-fit algorithms at runtime to adapt to the data dynamics. Because it takes only spatial features (i.e., neighboring data values for each data point in the current time step) into the training data, our learning framework exhibits low memory overhead (less than 1%). Experiments based on real-world scientific applications/benchmarks show that our framework can elevate the detection sensitivity (i.e., recall) up to 99%. Meanwhile the false positive rate is limited to 0.1% in most cases, which is one order of magnitude improvement compared with the latest state-of-the-art spatial technique.","Training,
Algorithm design and analysis,
Heuristic algorithms,
Vegetation,
Prediction algorithms,
Machine learning algorithms,
Mathematical model"
TGE: Machine Learning Based Task Graph Embedding for Large-Scale Topology Mapping,"Task mapping is an important problem in parallel and distributed computing. The goal in task mapping is to find an optimal layout of the processes of an application (or a task) onto a given network topology. We target this problem in the context of staging applications. A staging application consists of two or more parallel applications (also referred to as staging tasks) which run concurrently and exchange data over the course of computation. Task mapping becomes a more challenging problem in staging applications, because not only data is exchanged between the staging tasks, but also the processes of a staging task may exchange data with each other. We propose a novel method, called Task Graph Embedding (TGE), that harnesses the observable graph structures of parallel applications and network topologies. TGE employs a machine learning based algorithm to find the best representation of a graph, called an embedding, onto a space in which the task-to-processor mapping problem can be solved. We evaluate and demonstrate the effectiveness of TGE experimentally with the communication patterns extracted from runs of XGC, a large-scale fusion simulation code, on Titan.","Topology,
Benchmark testing,
Network topology,
Data visualization,
Resource management,
Heuristic algorithms"
Amazon?s Echo Look: Harnessing the Power of Machine Learning or Subtle Exploitation of Human Vulnerability?,"Here we are in 2017, but, at times, it feels as though we are back in the 1950s. Apparently, how women look and present themselves to the world is so crucial that they must sacrifice their privacy, security, and trust to Amazon's algorithms, just to gain societal acceptance for their fashion choices. Or at least, this is how it appears in the Amazon Echo Look video.","Algorithm design and analysis,
Consumer electronics,
Electronic commerce,
Market research,
Computer security,
Ethics,
Companies"
The Trust Value Calculating for Social Network Based on Machine Learning,"In this paper, a social network model is built for the social network information in the social network, and the machine learning method is used to calculate the node trust value. First, the results calculated by the traditional node trust value calculation method and some auxiliary information are used as the training feature of the machine learning, and the measurement whether there is edge between nodes as label information. Second, the node logistic regression model is used as the training model to calculate the node trust value. Then, recommendation algorithm which is analogous to the user collaborative filtering algorithm is used to calculate node trust value. At last, the simulation is used to verify the performance of the improved method, and the results show that the prediction accuracy of node trust value computing by improved algorithm is significantly higher than that of node trust value computing by formula.","Training,
Social network services,
Logistics,
Prediction algorithms,
Indexes,
Machine learning algorithms,
Predictive models"
Japanese Fingerspelling Recognition Based on Classification Tree and Machine Learning,"Sign language is a very important communication tool for hearing-impaired people and also for the communication between hearing-impaired and non-handicapped people. There are many methods for sign language recognition, some of which are based on Hidden Markov Model (HMM) and others are based on Support Vector Machine (SVM) and so forth. In fact, the most of previous methods recognize fingerspelling using video sequence because some fingerspellings are accompanied by movement. Some methods use Microsoft Kinect or Leap Motion controller to obtain the finger movement. Some fingerspellings, however, are not accompanied by movement and can be recognized with just one snap shot of fingerspelling. Therefore, this paper proposes a recognition method of fingerspelling without movement. The target fingerspellings are 41 characters without movement in Japanese sign language, and the method uses only one picture. Some of fingerspellings are easily recognized and others are not so that the method is based on pattern recognition using classification tree and machine learning with SVM for easily recognized fingerspellings and difficultly recognized ones, respectively. As the result of the experiment, the averaged recognition rate was 86%.","Gesture recognition,
Assistive technology,
Support vector machines,
Feature extraction,
Character recognition,
Hidden Markov models"
A fully configurable and scalable neural coprocessor IP for SoC implementations of machine learning applications,"This paper presents a fully configurable and programmable coprocessor IP core to efficiently compute Artificial Neural Networks (ANNs) in heterogeneous System-on-Chips (SoC). There is an increasing interest in moving applications involving streamed data such as those arising in machine-learning systems (machine-vision, speech-recognition, etc.) to highly-integrated low-power embedded devices. In this context efficient memory utilization, which is critical to both performance and energy consumption, requires handling multiple memory resources and different address spaces. The proposed IP core cooperates with a companion interconnect IP that acts as an abstraction layer to allow seamless integration of such heterogeneous resources. Dynamic (re)allocation is supported, so that embedded memory resources (Block RAMs) and external blocks (DDR memory) can be transparently used. The coprocessor itself is a configurable vector-matrix product computer with optional non-linear filtering, thus any single layer and multilayer ANN model can be easily implemented. The applicability of the IPs is demonstrated in a Hyperspectral Image (HSI) real-time classification problem.","Coprocessors,
Computer architecture,
IP networks,
Program processors,
Field programmable gate arrays,
Hardware,
Clocks"
Category Classification of Text Data with Machine Learning Technique for Visualizing Flow of Conversation in Counseling,"The beginner counselors have more likely to continue counseling in their own interest, they have a high tendency to make great use of the closed-ended question in order to confirm the interpretation with the client. While expert counselors are instructing the counseling skill to beginner counselors, we consider that the reaction of a client for a beginner counselor's question is important to visualize in an appropriate method. To respond the request, we have developed a system for visualizing the flow of conversation in counseling. However, the expert counselor as the system user requires to correct the initial classification result manually, and the work burden is large, because the accuracy of the category classification of conversation data is very low in the current system. To improve this problem, we have implemented on the category classification method of text data with SVM (Support Vector Machine) as machine learning technique to visualize the flow of conversation in counseling. In addition, we have compared and evaluated with results of the initial classification method of the current system. As these results, we have shown that the accuracy rate of the classification method with SVM become higher than the results in the current system.","Employee welfare,
Support vector machines,
Data visualization,
Psychology,
Dictionaries,
Data models,
Employment"
Understanding the feasibility of machine learning algorithms in a game theoretic environment for dynamic spectrum access,"The key enabling technology in dynamic spectrum access is Cognitive Radio that allows unlicensed secondary users to access the licensed bands without causing any interference to the primary users. In any situation where there are a certain number of secondary networks trying to get an available channel, there arises a game theoretic competition where they want to get the channel for themselves by incurring as minimum cost as possible. The increase in cost is equivalent to the increase in time caused by the need of a search for an available channel. This process could be sped up if the networks had a predictive mechanism to determine the optimal strategy. In this paper, we investigate various predictive algorithms: Linear regression, Support Vector Regression and Elastic Net and compare them with other traditional non-predictive game theoretic mechanisms. We measure the accuracy of these algorithms in terms of time taken to reach the system convergence. We also observe how a self-learning approach can be helpful in maximizing utilities of the players in comparison to traditional game theoretic approaches.","Games,
Switches,
Machine learning algorithms,
Interference,
Prediction algorithms,
Dynamic spectrum access,
Cognitive radio"
Machine learning approach for optimal determination of wave parameter relationships,"Wave parameter relationships have long been determined using methods that give non-standard and often inaccurate results. With increased commercial activity in the marine sector, the importance of accurate wave parameter relationship determination has become increasingly apparent. The outputs of many numerical models and buoy datasets do not include all requisite wave parameters, and a typical approach is to use a constant conversion factor or relationship based on defined spectra such as the Bretschneider or the joint North Sea wave observation project (JONSWAP) spectrum to determine these parameters. Given that relationships between wave parameters vary significantly over both hourly and seasonal and annual timescales, the currently employed methods are lacking, as subtleties are missed by the simpler approach. This paper addresses the determination of wave parameter relationships using a machine learning (ML)-based model, identifying and selecting the optimal method for the conversion of wave parameters (Te, T01) in coastal Irish Waters. This approach is then validated at two sites on the West coast of Ireland. The aim is to highlight the utility of ML in approximating the relationship between wave parameters; using both buoy and modelled data, and mapping the predicted outcomes for a wave energy converter based on a variety of ML and measure correlate predict approaches.","learning (artificial intelligence),
ocean waves,
power engineering computing,
wave power generation"
Audio Classification Method Based on Machine Learning,"Audio classification has very large theoretical and practical values in both pattern recognition and artificial intelligence. In this paper, we propose a novel audio classification method based on machine learning technique. Firstly, we illustrate the hierarchical structure of audio data, which is made up of four layers: 1) Audio frame, 2) Audio clip, 3) Audio shot, and 4) Audio high level semantic unit. Secondly, three types of audio data feature are extracted to construct feature vector, including 1) Short time energy, 2) Zero crossing rate and 3) Mel-Frequency cepstral coefficients. Thirdly, we discuss how to classify audio data using the SVM classifier with Gaussian kernel. Finally, experimental results demonstrate that the proposed method is able to achieve higher audio classification accuracy.","Transportation,
Big Data,
Smart cities"
Matheuristic with machine-learning-based prediction for software-defined mobile metro-core networks,"In general, humans follow a routine with highly predictable daily movements. For instance, we commute from home to work on a daily basis and visit a selected set of places for commercial and recreational purposes during the nights and weekends. The use of mobile phones increases when commuting via public transportation, during lunch breaks, and at night. Such regular behavior creates predictable spatiotemporal fluctuations of traffic patterns. In this paper, we introduce a matheuristic for dynamic optical routing, which can be implemented as an application into a software-defined mobile carrier network. We use machine learning to predict tidal traffic variations in a mobile metro-core network, which allows us to solve off-line mixed-integer linear programming instances of an optical routing (and wavelength) assignment optimization problem. The optimal results are used to favor near-optimal on-line routing decisions. Results demonstrate the effectiveness of our on-line methodology, with results that match almost perfectly the behavior of a network that performs optical routing reconfiguration with a perfect, oracle-like traffic prediction and the solution of an optimization problem.","Routing,
Mobile communication,
Planning,
Mobile computing,
Prediction algorithms,
Optimization,
Heuristic algorithms"
Machine Learning Techniques for Analyzing Training Behavior in Serious Gaming,"Training time is a costly, scarce resource across domains such as commercial aviation, healthcare, and military operations. In the context of military applications, serious gaming -- the training of warfighters through immersive, real-time environments rather than traditional classroom lectures -- offers benefits to improve training not only in its hands-on development and application of knowledge, but also in data analytics via machine learning. In this paper, we explore an array of machine learning techniques that allow teachers to visualize the degree to which training objectives are reflected in actual play. First, we investigate the concept of discovery: learning how warfighters utilize their training tools and develop military strategies within their training environment. Second, we develop machine learning techniques that could assist teachers by automatically predicting player performance, identifying player disengagement, and recommending personalized lesson plans. These methods could potentially provide teachers with insight to assist them in developing better lesson plans and tailored instruction for each individual student.","Games,
Training,
Tools,
Hidden Markov models,
Measurement,
Missiles"
A Comparison of Distributed Machine Learning Platforms,"The proliferation of big data and big computing boosted the adoption of machine learning across many application domains. Several distributed machine learning platforms emerged recently. We investigate the architectural design of these distributed machine learning platforms, as the design decisions inevitably affect the performance, scalability, and availability of those platforms. We study Spark as a representative dataflow system, PMLS as a parameter- server system, and TensorFlow and MXNet as examples of more advanced dataflow systems. We take a distributed systems perspective, and analyze the communication and control bottlenecks for these approaches. We also consider fault-tolerance and ease-of-development in these platforms. In order to provide a quantitative evaluation, we evaluate the performance of these three systems with basic machine learning tasks: logistic regression, and an image classification example on the MNIST dataset.","Sparks,
Computational modeling,
Servers,
Training,
Computer architecture,
Data models,
Machine learning algorithms"
